rank,author,weighted_contribution,percentage
1,Matthias Benkort,9.7,7.55
2,Michael Peyton Jones,7.8,6.05
3,Philip DiSarro,6.5,5.08
4,Sebastien Guillemot,6.5,5.08
5,Jared Corduan,4.5,3.52
6,Ryan Williams,4.0,3.12
7,Steven Johnson,3.5,2.73
8,Koz Ross,3.2,2.47
9,Pi Lanningham,3.0,2.34
10,Kevin Hammond,2.7,2.08
11,Shawn McMurdo,2.5,1.95
12,Ola Ahlman,2.4,1.89
13,Adam Dean,2.1,1.63
14,Tobias Fancee,2.0,1.56
15,Leo,2.0,1.56
16,Iñigo Querejeta-Azurmendi,1.8,1.37
17,Andrew Westberg,1.7,1.29
18,Thomas Vellekoop,1.6,1.24
19,Alessandro Konrad,1.5,1.17
20,Vladimir Kalnitsky,1.5,1.17
21,Martin Lang,1.4,1.11
22,Rafael Korbas,1.3,1.04
23,Marcin Szamotulski,1.2,0.91
24,Jonathan Knowles,1.0,0.78
25,Markus Gufler,1.0,0.78
26,Luke Nadur,1.0,0.78
27,rooooooooob,1.0,0.78
28,Casey Gibson,1.0,0.78
29,Simon Thompson,1.0,0.78
30,Kieran Simkin,1.0,0.78
31,Maksymilian 'zygomeb' Brodowicz,1.0,0.78
32,Thaddeus Diamond,1.0,0.78
33,Robin of Loxley,1.0,0.78
34,fallen-icarus,1.0,0.78
35,Niels Mündler,1.0,0.78
36,Juan Salvador Magán Valero,1.0,0.78
37,Sam Delaney,1.0,0.78
38,Thomas Upfield,1.0,0.78
39,Tomasz Rybarczy,1.0,0.78
40,Jonathan Rodriguez,1.0,0.78
41,Ashish Prajapati,1.0,0.78
42,Alex Sierkov,1.0,0.78
43,John Hughes,1.0,0.78
44,Ryan Wiley rian222@gmail.com,1.0,0.78
45,Alexey Kuleshevich,0.8,0.65
46,Sebastian Nagel,0.8,0.62
47,George Flerovsky,0.8,0.59
48,Polina Vinogradova,0.7,0.52
49,Ryan Wiley,0.6,0.5
50,Robert Phair,0.5,0.39
51,Ruslan Dudin,0.5,0.39
52,Mike Fullman,0.5,0.39
53,Rodney Lorrimar,0.5,0.39
54,Smaug,0.5,0.39
55,Huth S0lo,0.5,0.39
56,TheRealAdamDean,0.5,0.39
57,Andre Knispel,0.5,0.39
58,Fabian Bormann,0.5,0.39
59,Jaime Caso,0.5,0.39
60,KtorZ,0.5,0.39
61,scarmuega,0.5,0.39
62,Maximilian König,0.5,0.39
63,zhekson1,0.5,0.39
64,Sergei Patrikeev,0.5,0.39
65,Martín Schere,0.5,0.39
66,Danielle Stanko,0.5,0.39
67,Eystein Magnus Hansen,0.5,0.39
